ATC,DB,Farmaco
H02AB01,DB00443,BETAMETASONA FOSFATO/DIPROPIONATO
L01FG01,DB00112,BEVACIZUMAB
C10AB02,DB01393,BEZAFIBRATO
L02BB03,DB01128,BICALUTAMIDA
J05AR20,DB11799,BICTEGRAVIR/EMTRICITABINA/TENOFOVIR ALAFENAMIDA
L04AC21,DB12917,BIMEKIZUMAB
N04AA02,DB00810,BIPERIDENO
A07BB,DB01294,BISMUTO
C07AB07,DB00612,BISOPROLOL
L01DC01,DB00290,BLEOMICINA
L01FX01,DB09052,BLINATUMOMAB
L01XX32,DB00188,BORTEZOMIB
C02KX01,DB00559,BOSENTAN
L01EA04,DB06616,BOSUTINIB
L01FX05,DB08870,BRENTUXIMAB VEDOTIN
L01EC04,DB12267,BRIGATINIB
S01EA05,DB00484,BRIMONIDINA
S01ED51,DB00484,BRIMONIDINA/TIMOLOL
S01ED51,DB00484,BRIMONIDINA/TIMOLOL/DORZOLAMIDA
N03AX23,DB05541,BRIVARACETAM
N05BA08,DB01558,BROMAZEPAM
R03BA02,DB01222,BUDESONIDA
R03AK07,DB01222,BUDESONIDA/FORMOTEROL
R03AL11,DB01222,BUDESONIDA/GLICOPIRRONIO/FORMOTEROL
C03CA02,DB00887,BUMETANIDA
N01BB01,DB00297,BUPIVACAINA
N02AE01,DB00921,BUPRENORFINA
M05BX05,DB14012,BUROSUMAB
L01AB01,DB01008,BUSULFAN
A03BB01,DB00462,BUTILHIOSCINA
N02BB,DB00462,BUTILHIOSCINA/METAMIZOL
L01CD04,DB06772,CABAZITAXEL
G02CB03,DB00248,CABERGOLINA
J05AJ04,DB11751,CABOTEGRAVIR
L01EX07,DB08875,CABOZANTINIB
N06BC01,DB00201,CAFEINA CITRATO
A12AA,DB01164,CALCIO
A02AC01,DB06724,CALCIO CARBONATO
A12AX,DB06724,CALCIO CARBONATO/VITAMINA D3
A12AA03,DB11126,CALCIO GLUCONATO
D05AX52,DB02300,CALCIPOTRIOL/BETAMETASONA
A11CC04,DB00136,CALCITRIOL
C09CA06,DB00796,CANDESARTAN
C09DA06,DB00796,CANDESARTAN/HIDROCLOROTIAZIDA
L01BC06,DB01101,CAPECITABINA
C09AA01,DB01197,CAPTOPRIL
N03AF01,DB00564,CARBAMAZEPINA
H01BB03,DB01282,CARBETOCINA
A07BA01,DB09278,CARBON ACTIVADO
L01XA02,DB00958,CARBOPLATINO
B03AC,DB08917,CARBOXIMALTOSA FERRICA
L01XX45,DB08889,CARFILZOMIB
C07AG02,DB01136,CARVEDILOL
J02AX04,DB00520,CASPOFUNGINA
J01DC04,DB00833,CEFACLOR
J01DB01,DB00567,CEFALEXINA
J01DB03,DB00456,CEFALOTINA
