ATC,DB,Farmaco
A10BJ02,DB06655,LIRAGLUTIDA
C09AA03,DB00722,LISINOPRIL
N05AN01,DB01356,LITIO
A10BJ03,DB09265,LIXISENATIDA
A07DA03,DB00836,LOPERAMIDA
J05AR10,DB01601,LOPINAVIR/RITONAVIR
R06AX13,DB00455,LORATADINA
R06AX,DB00455,LORATADINA/BETAMETASONA
N05BA06,DB00186,LORAZEPAM
L01EC05,DB12130,LORLATINIB
A05BA,DB15577,L-ORNITINA/L-ASPARTATO
C09CA01,DB00678,LOSARTAN
C09DA01,DB00678,LOSARTAN/HIDROCLOROTIAZIDA
S01BA14,DB00873,LOTEPREDNOL
L01XX55,DB12674,LURBINECTEDINA
B03XA06,DB12281,LUSPATERCEPT
G03GA07,DB00044,LUTROPINA ALFA
C02KX04,DB08932,MACITENTAN
C02KX54,DB08932,MACITENTAN/TADALAFIL
A02AF01,DB08938,MAGALDRATO/DIMETICONA
A12CC,DB09481,MAGNESIO
B05XA05,DB00653,MAGNESIO SULFATO
B05BC01,DB00742,MANITOL
J05AX09,DB04835,MARAVIROC
C01EB24,DB14921,MAVACAMTEN
P02CA01,DB00643,MEBENDAZOL
P02C,DB00643,MEBENDAZOL/QUINFAMIDA
A03AA04,DB12554,MEBEVERINA
R06AE53,DB00737,MECLOZINA/PIRIDOXINA
G03DA02,DB00603,MEDROXIPROGESTERONA
G03FA12,DB00603,MEDROXIPROGESTERONA/ESTRADIOL
L02AB01,DB00351,MEGESTROL
N05CH01,DB01065,MELATONINA
L01AA03,DB01042,MELFALAN
M01AC06,DB00814,MELOXICAM
M01AC56,DB00814,MELOXICAM/CARISOPRODOL
N06DX01,DB01043,MEMANTINA
B02BA02,DB00170,MENADIONA
R03DX09,DB06612,MEPOLIZUMAB
L01BB02,DB01033,MERCAPTOPURINA
J01DH02,DB00760,MEROPENEM
A07EC02,DB00244,MESALAZINA
V03AF01,DB09110,MESNA
G03BA03,DB13587,MESTEROLONA
N07BC02,DB00333,METADONA
N02BB02,DB04817,METAMIZOL
A14AA04,DB13710,METENOLONA
A10BA02,DB00331,METFORMINA
A10BD02,DB00331,METFORMINA/GLIBENCLAMIDA
A10BD02,DB00331,METFORMINA/GLIMEPIRIDA
A10BD11,DB00331,METFORMINA/LINAGLIPTINA
C02AB01,DB00968,METILDOPA
N06BA04,DB00422,METILFENIDATO
H02AB04,DB00959,METILPREDNISOLONA
V03AB17,DB09241,METILTIONINIO (AZUL DE METILENO)
M03BA03,DB00423,METOCARBAMOL
A03FA01,DB01233,METOCLOPRAMIDA
C07AB02,DB00264,METOPROLOL
L01BA01,DB00563,METOTREXATO
D05BA02,DB00553,METOXALENO
B03XA03,DB00016,METOXI-PEG-EPOETINA BETA
J01XD01,DB00916,METRONIDAZOL
D01AC02,DB01110,MICONAZOL
N05CD08,DB00683,MIDAZOLAM
L01EX10,DB06595,MIDOSTAURINA
L03AX15,DB13615,MIFAMURTIDA
G03XB01,DB00834,MIFEPRISTONA
A16AX06,DB00419,MIGLUSTAT
C01CE02,DB00235,MILRINONA
J01AA08,DB01017,MINOCICLINA
G04BD12,DB08893,MIRABEGRON
N06AX11,DB00370,MIRTAZAPINA
G02AD06,DB00929,MISOPROSTOL
L01DC03,DB00305,MITOMICINA
L01DB07,DB01204,MITOXANTRONA
D07AC13,DB00764,MOMETASONA
R03DC03,DB00471,MONTELUKAST
R03DC53,DB00471,MONTELUKAST/LEVOCETIRIZINA
N02AA01,DB00295,MORFINA
B02BD02,DB13999,MOROCTOCOG ALFA
A03FA09,DB11675,MOSAPRIDA
J01MA14,DB00218,MOXIFLOXACINO
A11BA,DB00115,MULTIVITAMINAS
D06AX09,DB00410,MUPIROCINA
B01AB06,DB08813,NADROPARINA
S01GA01,DB06711,NAFAZOLINA
N02AF02,DB00844,NALBUFINA
V03AB15,DB01183,NALOXONA
M01AE02,DB00788,NAPROXENO
L04AA23,DB00108,NATALIZUMAB
L01FX14,DB15965,NAXITAMAB
J01GB05,DB00994,NEOMICINA
S02CA05,DB00994,NEOMICINA/POLIMIXINA B/FLUOCINOLONA/LIDOCAINA
S01AA30,DB00994,NEOMICINA/POLIMIXINA B/BACITRACINA
S01AA30,DB00994,NEOMICINA/POLIMIXINA B/GRAMICIDINA
N07AA01,DB01400,NEOSTIGMINA
S01BC10,DB06802,NEPAFENACO
J01GB07,DB00955,NETILMICINA
J05AG01,DB00238,NEVIRAPINA
N07BA01,DB00184,NICOTINA
C08CA05,DB01115,NIFEDIPINO
L01EA03,DB04868,NILOTINIB
C08CA06,DB00393,NIMODIPINO
L01EX09,DB09079,NINTEDANIB
J05AE30,DB00503,NIRMATRELVIR/RITONAVIR
J06BD08,DB16258,NIRSEVIMAB
A07AA02,DB00646,NISTATINA
P01AX11,DB00507,NITAZOXANIDA
A16AX04,DB00348,NITISINONA
D08AF01,DB00336,NITROFURAL
J01XE01,DB00698,NITROFURANTOINA
C01DA02,DB00727,NITROGLICERINA
C02DD01,DB00325,NITROPRUSIATO
L01FF01,DB09035,NIVOLUMAB
G03AA13,DB06713,NORELGESTROMINA/ETINILESTRADIOL
C01CA03,DB00368,NOREPINEFRINA
G03DC02,DB00717,NORETISTERONA
G03FA01,DB00717,NORETISTERONA/ESTRADIOL
M09AX07,DB13161,NUSINERSEN
L01FC02,DB08935,OBINUTUZUMAB
L04AA36,DB11988,OCRELIZUMAB
B02BD02,DB00025,OCTOCOG ALFA
H01CB02,DB00104,OCTREOTIDA
L01FA01,DB06650,OFATUMUMAB
J01MA01,DB01165,OFLOXACINA
N05AH03,DB00334,OLANZAPINA
L01XX46,DB09074,OLAPARIB
C09CA08,DB00275,OLMESARTAN
C09DB02,DB00275,OLMESARTAN/AMLODIPINO
C09DX03,DB00275,OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA
C09DA08,DB00275,OLMESARTAN/HIDROCLOROTIAZIDA
R03DX05,DB00043,OMALIZUMAB
A02BC01,DB00338,OMEPRAZOL
M09AX09,DB15528,ONASEMNOGENE ABEPARVOVEC
A04AA01,DB00904,ONDANSETRON
M03BC01,DB01173,ORFENADRINA
J05AH02,DB00198,OSELTAMIVIR
L01EB04,DB09330,OSIMERTINIB
A03AB06,DB13500,OTILONIO
L01XA03,DB00526,OXALIPLATINO
N03AF02,DB00776,OXCARBAZEPINA
G04BD04,DB01062,OXIBUTININA
N02AA05,DB00497,OXICODONA
N02AA55,DB00497,OXICODONA/NALOXONA
D02AB,DB09321,OXIDO DE ZINC
R01AA05,DB00935,OXIMETAZOLINA
H01BB02,DB00107,OXITOCINA
R05DB13,DB13216,OXOLAMINA
L01CD01,DB01229,PACLITAXEL
L01CD02,DB01229,PACLITAXEL (UNIDO A ALBUMINA)
L01EF01,DB09073,PALBOCICLIB
N05AX13,DB01267,PALIPERIDONA
J06BB16,DB00110,PALIVIZUMAB
A04AA05,DB00377,PALONOSETRON
A04AD13,DB00377,PALONOSETRON/NETUPITANT
A09AA02,DB00085,PANCREATINA
L01XC08,DB01269,PANITUMUMAB
A02BC02,DB00213,PANTOPRAZOL
N02BE01,DB00316,PARACETAMOL
M03BB53,DB00316,PARACETAMOL/CLORZOXAZONA
H05BX02,DB00910,PARICALCITOL
N06AB05,DB00715,PAROXETINA
L01EX03,DB06589,PAZOPANIB
L01XX24,DB00059,PEGASPARGASA
L03AA13,DB00019,PEGFILGRASTIM
L03AB,DB00008,PEGINTERFERON ALFA
L01FF02,DB09037,PEMBROLIZUMAB
L01BA04,DB00642,PEMETREXED
M01CC01,DB00859,PENICILAMINA
P01CX01,DB00738,PENTAMIDINA
C04AD03,DB00806,PENTOXIFILINA
N05AB03,DB00850,PERFENAZINA
C09BB04,DB00790,PERINDOPRIL/AMLODIPINO
C09BX01,DB00790,PERINDOPRIL/AMLODIPINO/INDAPAMIDA
C09BA04,DB00790,PERINDOPRIL/INDAPAMIDA
P03AC04,DB04930,PERMETRINA
L01XC13,DB06366,PERTUZUMAB
L01XY02,DB06366,PERTUZUMAB/TRASTUZUMAB
L03AX05,DB11364,PIDOTIMOD
S01EB01,DB01085,PILOCARPINA
D11AH02,DB00337,PIMECROLIMUS
A03AX04,DB09090,PINAVERIO
A03AX,DB09090,PINAVERIO/DIMETICONA
A10BG03,DB01132,PIOGLITAZONA
J01CR05,DB00319,PIPERACILINA/TAZOBACTAM
N06BX03,DB09210,PIRACETAM
J04AK01,DB00339,PIRAZINAMIDA
L04AX05,DB04951,PIRFENIDONA
N07AA02,DB00545,PIRIDOSTIGMINA
P01BD01,DB00205,PIRIMETAMINA
M01AC01,DB00554,PIROXICAM
A06A,DB11097,PLANTAGO PSYLLIUM
V07A,DB08888,PLASMA HUMANO CONGELADO
L03AX16,DB06809,PLERIXAFOR
D06BB,DB09094,PODOFILINA
L01FX13,DB12240,POLATUZUMAB VEDOTINA
C05BB02,DB06811,POLIDOCANOL
A06AD15,DB09287,POLIETILENGLICOL
A11AA03,DB00115,POLIVITAMINAS Y MINERALES
L04AX06,DB08910,POMALIDOMIDA
L01EA05,DB08901,PONATINIB
A12BA,DB01345,POTASIO SALES
L01BA05,DB06813,PRALATREXATO
N04BC05,DB00413,PRAMIPEXOL
B01AC22,DB06209,PRASUGREL
C10AA03,DB00175,PRAVASTATINA
P02BA01,DB01058,PRAZICUANTEL
C02CA01,DB00457,PRAZOSINA
H02AB06,DB00860,PREDNISOLONA
S01CA01,DB00635,PREDNISOLONA/SULFACETAMIDA
H02AB07,DB00635,PREDNISONA
N03AX16,DB00230,PREGABALINA
N01BB54,DB00750,PRILOCAINA/FELIPRESINA
P01BC02,DB01087,PRIMAQUINA
N03AA03,DB00794,PRIMIDONA
M04AB01,DB01032,PROBENECID
G03DA04,DB00396,PROGESTERONA
C01BC03,DB01182,PROPAFENONA
N01AX10,DB00818,PROPOFOL
C07AA05,DB00571,PROPRANOLOL
V03AB14,DB13700,PROTAMINA
A06AX05,DB06480,PRUCALOPRIDA
N05AH04,DB01224,QUETIAPINA
P01AX07,DB12780,QUINFAMIDA
J01FG02,DB01369,QUINUPRISTINA/DALFOPRISTINA
A07XA04,DB11696,RACECADOTRILO
G03XC01,DB00481,RALOXIFENO
J05AX08,DB06817,RALTEGRAVIR
C09AA05,DB00178,RAMIPRIL
S01LA04,DB01270,RANIBIZUMAB
C01EB18,DB00243,RANOLAZINA
N04BD02,DB01367,RASAGILINA
L04AA44,DB11580,RAVULIZUMAB
L01EX05,DB08896,REGORAFENIB
N02AB10,DB00899,REMIFENTANILO
J05AB04,DB00811,RIBAVIRINA
L01EF02,DB11730,RIBOCICLIB
J04AB02,DB01045,RIFAMPICINA
J04AM02,DB01045,RIFAMPICINA/ISONIAZIDA
J04AM06,DB01045,RIFAMPICINA/ISONIAZIDA/PIRAZINAMIDA/ETAMBUTOL
A07AA11,DB01220,RIFAXIMINA
C02KX05,DB08931,RIOCIGUAT
L04AC18,DB14762,RISANKIZUMAB
M09AX10,DB15305,RISDIPLAM
N05AX08,DB00734,RISPERIDONA
J05AE03,DB00503,RITONAVIR
L01FA01,DB00073,RITUXIMAB
B01AF01,DB06228,RIVAROXABAN
N06DA03,DB00989,RIVASTIGMINA
M03AC09,DB00728,ROCURONIO
B02BX04,DB05332,ROMIPLOSTIM
M05BX04,DB11866,ROMOSOZUMAB
N01BB09,DB00296,ROPIVACAINA
C10AA07,DB01098,ROSUVASTATINA
C10BA06,DB01098,ROSUVASTATINA/EZETIMIBA
N04BC09,DB05271,ROTIGOTINA
B02BD04,DB16007,RURIOCTOCOG ALFA PEGOL
L01EJ01,DB08877,RUXOLITINIB
L01FX17,DB12893,SACITUZUMAB GOVITECAN
C09DX04,DB09292,SACUBITRILO/VALSARTAN
R03AC02,DB01001,SALBUTAMOL
R03AC12,DB00938,SALMETEROL
R03AK06,DB00938,SALMETEROL/FLUTICASONA
A16AX07,DB00360,SAPROPTERINA
L04AC19,DB15762,SATRALIZUMAB
A16AB12,DB11563,SEBELIPASA ALFA
L04AC10,DB09029,SECUKINUMAB
N04BD01,DB01037,SELEGILINA
B01AC27,DB11362,SELEXIPAG
L01EE04,DB11689,SELUMETINIB
A10BJ06,DB13928,SEMAGLUTIDA
A06AB06,DB11365,SENOSIDOS
N06AB06,DB01104,SERTRALINA
V03AE02,DB00658,SEVELAMERO
N01AB08,DB01236,SEVOFLURANO
G04BE03,DB00203,SILDENAFIL
B02BD08,DB09108,SIMOCTOCOG ALFA
C10AA01,DB00641,SIMVASTATINA
L04AA10,DB00877,SIROLIMUS
A10BH01,DB01261,SITAGLIPTINA
A10BD07,DB01261,SITAGLIPTINA/METFORMINA
J05AP55,DB08934,SOFOSBUVIR/VELPATASVIR
G04BD08,DB01591,SOLIFENACINA
H01AC01,DB00052,SOMATROPINA
L01XE05,DB00398,SORAFENIB
L01XX73,DB15569,SOTORASIB
A02BX02,DB00364,SUCRALFATO
V03AB35,DB06206,SUGAMMADEX
S01AB04,DB00634,SULFACETAMIDA
D06BA01,DB05245,SULFADIAZINA DE PLATA
A07EC01,DB00795,SULFASALAZINA
B03AA07,DB13257,SULFATO FERROSO
M01AB02,DB00605,SULINDACO
N05AL01,DB00391,SULPIRIDA
N02CC01,DB00669,SUMATRIPTAN
L01EX01,DB01268,SUNITINIB
M03AB01,DB00202,SUXAMETONIO
L04AD02,DB00864,TACROLIMUS
G04BE08,DB00820,TADALAFIL
N07XX08,DB11644,TAFAMIDIS
L04AX02,DB01041,TALIDOMIDA
A16AB11,DB08876,TALIGLUCERASA ALFA
L02BA01,DB00675,TAMOXIFENO
G04CA02,DB00706,TAMSULOSINA
N02AX06,DB06204,TAPENTADOL
L01FX23,DB16655,TECLISTAMAB
J01XA02,DB06149,TEICOPLANINA
C09CA07,DB00966,TELMISARTAN
C09DA07,DB00966,TELMISARTAN/HIDROCLOROTIAZIDA
L01AX03,DB00853,TEMOZOLOMIDA
B01AD11,DB00031,TENECTEPLASA
J05AF07,DB00300,TENOFOVIR
J05AF13,DB00300,TENOFOVIR ALAFENAMIDA
J05AR03,DB00300,TENOFOVIR/EMTRICITABINA
R03DA04,DB00277,TEOFILINA
G04CA03,DB01162,TERAZOSINA
D01BA02,DB00857,TERBINAFINA
L04AA31,DB08880,TERIFLUNOMIDA
H05AA02,DB06285,TERIPARATIDA
H01BA04,DB02638,TERLIPRESINA
G03BA03,DB00624,TESTOSTERONA
N07XX06,DB04844,TETRABENAZINA
S01HA03,DB09085,TETRACAINA
J01AA07,DB00759,TETRACICLINA
R03DX11,DB15090,TEZEPELUMAB
H03BB02,DB00763,TIAMAZOL
G03CX01,DB09070,TIBOLONA
B01AC24,DB08816,TICAGRELOR
J01AA12,DB00560,TIGECICLINA
S01ED01,DB00373,TIMOLOL
S01ED51,DB00373,TIMOLOL/BRINZOLAMIDA
P01AB02,DB00911,TINIDAZOL
N01AF03,DB00599,TIOPENTAL
R03BB04,DB01409,TIOTROPIO
R03BB04,DB01409,TIOTROPIO
R03AL06,DB01409,TIOTROPIO/OLODATEROL
B01AC17,DB00775,TIROFIBAN
H01AB01,DB00024,TIROTROPINA ALFA
H03AA03,DB00451,TIROXINA/TRIYODOTIRONINA
A10BJ08,DB15171,TIRZEPATIDA
J01GB01,DB00684,TOBRAMICINA
S01CA01,DB00684,TOBRAMICINA/DEXAMETASONA
L04AC07,DB06273,TOCILIZUMAB
L04AA29,DB08895,TOFACITINIB
G04BD07,DB01036,TOLTERODINA
N03AX11,DB00273,TOPIRAMATO
L01XX17,DB01030,TOPOTECAN
M03AX01,DB00083,TOXINA BOTULINICA TIPO A
L01CX01,DB05109,TRABECTEDINA
N02AX02,DB00193,TRAMADOL
N02AJ15,DB00193,TRAMADOL/KETOROLACO
N02AJ14,DB00193,TRAMADOL/DEXKETOPROFENO
N02AJ13,DB00193,TRAMADOL/PARACETAMOL
L01XC03,DB00072,TRASTUZUMAB
L01FX18,DB00072,TRASTUZUMAB DERUXTECAN
L01XC14,DB00072,TRASTUZUMAB EMTANSINA
S01EE04,DB00287,TRAVOPROST
L01FF06,DB11771,TREMELIMUMAB
B01AC21,DB00374,TREPROSTINIL
D10BA01,DB00755,TRETINOINA
N05CD05,DB00897,TRIAZOLAM
N05AB06,DB00831,TRIFLUOPERAZINA
A16AX12,DB11677,TRIHEPTANOINA
N04AA01,DB00376,TRIHEXIFENIDILO
A03AA05,DB09089,TRIMEBUTINA
A03A,DB09089,TRIMEBUTINA/SIMETICONA
J01EE01,DB01015,TRIMETOPRIMA/SULFAMETOXAZOL
C01DA02,DB00727,TRINITRATO DE GLICERILO
L01XX27,DB01169,TRIOXIDO DE ARSENICO
L02AE04,DB06825,TRIPTORELINA
S01FA06,DB00809,TROPICAMIDA
S01FA56,DB00809,TROPICAMIDA/FENILEFRINA
A04AA03,DB11699,TROPISETRON
B02BD02,DB14738,TUROCTOCOG ALFA PEGOL
G03XB02,DB08867,ULIPRISTAL
L04AF03,DB15091,UPADACITINIB
L04AC05,DB05679,USTEKINUMAB
J05AB11,DB00577,VALACICLOVIR
J05AB14,DB01610,VALGANCICLOVIR
N03AG01,DB00313,VALPROATO
N03AG01,DB00313,VALPROATO SEMISODICO
C09CA03,DB00177,VALSARTAN
C09DX02,DB00177,VALSARTAN/ALISKIREN
C09DA03,DB00177,VALSARTAN/HIDROCLOROTIAZIDA
J01XA01,DB00512,VANCOMICINA
L01EX04,DB05294,VANDETANIB
N07BA03,DB01273,VARENICLINA
H01BA06,DB00067,VASOPRESINA
M03AC03,DB01339,VECURONIO
L04AA33,DB09033,VEDOLIZUMAB
A16AB10,DB06720,VELAGLUCERASA ALFA
L01XX52,DB11581,VENETOCLAX
N06AX16,DB00285,VENLAFAXINA
C08DA01,DB00661,VERAPAMILO
C01DX22,DB15456,VERICIGUAT
A16AB18,DB12366,VESTRONIDASA ALFA
N03AG04,DB01080,VIGABATRINA
A10BH02,DB04876,VILDAGLIPTINA
A10BD08,DB04876,VILDAGLIPTINA/METFORMINA
L01CA01,DB00570,VINBLASTINA
L01CA02,DB00541,VINCRISTINA
L01CA04,DB00361,VINORELBINA
A11HA03,DB00163,VITAMINA E (TOCOFEROL)
C10AX18,DB15067,VOLANESORSEN
J02AC03,DB00582,VORICONAZOL
L01XH,DB02546,VORINOSTAT
N06AX26,DB09068,VORTIOXETINA
N07XX18,DB16699,VUTRISIRAN
B01AA03,DB00682,WARFARINA
J05AH01,DB00558,ZANAMIVIR
L01EL03,DB15035,ZANUBRUTINIB
J05AF01,DB00495,ZIDOVUDINA
S01GA55,DB01593,ZINC/FENILEFRINA
N05AE04,DB00246,ZIPRASIDONA
N02CC03,DB00315,ZOLMITRIPTAN
N05CF02,DB00425,ZOLPIDEM
N05AF05,DB01624,ZUCLOPENTIXOL
B06AX08,DB17492,ANSELAMIMAB
L01XA06,DB13145,NEDAPLATIN
N03AX15,DB00909,ZONISAMIDA
